Time [s],Current [A],Voltage [V],C-rate,Total capacity lost to side reactions [A.h],Capacity [Ah],Remaining Capacity [Ah],RUL [hours],Predicted RUL
122964.40801858512,0.0680616,3.429853566695208,0.0999999999999999,0.0736406852056062,4.926359314794394,4.926359314794394,98.52718629588787,98.58670665201237
123024.40801858512,0.0680616,3.418756147140116,0.0999999999999999,0.0736565850561157,4.926343414943885,4.926343414943885,98.52686829887769,98.59744883951237
123084.40801858512,0.0680616,3.4070513684755115,0.0999999999999999,0.0736723842768363,4.926327615723164,4.926327615723164,98.52655231446327,98.61276866373112
123144.40801858512,0.0680616,3.394708042565377,0.0999999999999999,0.0736880802387394,4.926311919761261,4.926311919761261,98.52623839522522,98.63352061685612
123204.40801858512,0.0680616,3.381694024709907,0.0999999999999999,0.0737036723766152,4.926296327623385,4.926296327623385,98.5259265524677,98.66080333169987
123264.40801858512,0.0680616,3.367976530986508,0.0999999999999999,0.0737191604189721,4.926280839581028,4.926280839581028,98.52561679162055,98.69553233560612
123324.40801858512,0.0680616,3.353520833988226,0.0999999999999999,0.0737345445165745,4.926265455483425,4.926265455483425,98.5253091096685,98.73892833169987
123384.40801858512,0.0680616,3.338292661817114,0.0999999999999999,0.0737498247209512,4.926250175279049,4.926250175279049,98.52500350558097,98.79245616373112
123444.40801858512,0.0680616,3.322254820539274,0.0999999999999999,0.0737650017367661,4.926234998263234,4.926234998263234,98.52469996526467,98.85758067544987
123504.40801858512,0.0680616,3.3053711146890814,0.0999999999999999,0.0737800758893378,4.926219924110662,4.926219924110662,98.52439848221324,98.93607188638737
123522.833066459,0.0680616,3.300009999999999,0.0999999999999999,0.0737846833270767,4.9262153166729234,4.9262153166729234,98.52430633345847,98.96323253091862
125322.833066459,-1.0,3.60069449942171,-1.469257261069384,0.0742437539674951,4.925756246032505,4.925756246032505,98.5151249206501,98.42410899576237
125324.6288204326,-1.0,3.6499900000002734,-1.469257261069384,0.0742442537311405,4.92575574626886,4.92575574626886,98.51511492537719,98.36258555826237
125324.62882043264,-1.0000007760264074,3.65,-1.469258401251818,0.0742442537311405,4.92575574626886,4.92575574626886,98.51511492537719,98.36258555826237
125384.6288204326,-0.3945117597349608,3.65,-0.5796392675678514,0.0742617144273596,4.92573828557264,4.92573828557264,98.5147657114528,98.55838633951237
125444.6288204326,-0.2965044103592336,3.65,-0.4356412578594003,0.074279551305965,4.925720448694035,4.925720448694035,98.51440897388069,98.44949962076237
125504.6288204326,-0.2414299735662895,3.649999999999999,-0.3547227417020604,0.0742975731822889,4.925702426817711,4.925702426817711,98.51404853635422,98.41849376138737
125564.6288204326,-0.2038804888382109,3.65,-0.299552888615917,0.0743157269302383,4.925684273069762,4.925684273069762,98.51368546139523,98.41580821451237
125624.6288204326,-0.1761852342709021,3.65,-0.2588614347457335,0.0743339861675475,4.925666013832452,4.925666013832452,98.51332027664904,98.42386485513737
125684.6288204326,-0.1548148691706573,3.65,-0.227462870650495,0.074352336054201,4.925647663945799,4.925647663945799,98.51295327891599,98.43692637857487
125744.6288204326,-0.1377841497932203,3.65,-0.2024403625439606,0.0743707674399581,4.925629232560042,4.925629232560042,98.51258465120084,98.45206309732487
125804.6288204326,-0.1238678046188495,3.650000000000001,-0.1819936713489685,0.0743892740975101,4.92561072590249,4.92561072590249,98.51221451804979,98.46793223794987
125864.6288204326,-0.1122634441437423,3.65,-0.1649438804608507,0.0744078512220907,4.925592148777909,4.925592148777909,98.51184297555818,98.48367930826237
125924.6288204326,-0.1024242225735441,3.65,-0.1504875327255664,0.0744264947483191,4.9255735052516805,4.9255735052516805,98.51147010503361,98.49808360513737
125984.6288204326,-0.0939659165459761,3.65,-0.1380601051782153,0.0744452010882936,4.9255547989117066,4.9255547989117066,98.51109597823412,98.51260997232487
