Time [s],Current [A],Voltage [V],C-rate,Total capacity lost to side reactions [A.h]
4020.0,0.06806160000000006,3.7936694207821158,0.09999999999999998,0.010201913304329027
4080.0,0.06806160000000006,3.7930632033356937,0.09999999999999998,0.010312354108276125
4140.0,0.06806160000000006,3.7924600897515344,0.09999999999999998,0.010422153240015063
4200.0,0.06806160000000006,3.791860094084135,0.09999999999999998,0.010531324710146448
4260.0,0.06806160000000006,3.791263221543248,0.09999999999999998,0.010639873572860373
4320.0,0.06806160000000006,3.7906694848884257,0.09999999999999998,0.010747812269657098
4380.0,0.06806160000000006,3.790078899660433,0.09999999999999998,0.010855096140766626
4440.0,0.06806160000000006,3.7894914619000946,0.09999999999999998,0.010961838040346228
4500.0,0.06806160000000006,3.788907183302124,0.09999999999999998,0.011068003972528462
4560.0,0.06806160000000006,3.788326071318553,0.09999999999999998,0.011173605178059143
4620.0,0.06806160000000006,3.7877481301638216,0.09999999999999998,0.011278647926736291
4680.0,0.06806160000000006,3.7871733681594817,0.09999999999999998,0.011383142479147946
4740.0,0.06806160000000006,3.78660178626028,0.09999999999999998,0.011487090683667028
4800.0,0.06806160000000006,3.786033392864713,0.09999999999999998,0.011590508208373948
4860.0,0.06806160000000006,3.7854681879399417,0.09999999999999998,0.011693392197861367
4920.0,0.06806160000000006,3.7849061823518118,0.09999999999999998,0.011795705720793602
4980.0,0.06806160000000006,3.784347367425921,0.09999999999999998,0.011897551158665403
5040.0,0.06806160000000006,3.78379174835647,0.09999999999999998,0.011998899773610601
5100.0,0.06806160000000006,3.78323932662483,0.09999999999999998,0.012099756576507735
5160.0,0.06806160000000006,3.782690102714362,0.09999999999999998,0.012200129704578604
5220.0,0.06806160000000006,3.7821440764938234,0.09999999999999998,0.012300021953947462
5280.0,0.06806160000000006,3.7816012477272434,0.09999999999999998,0.01239944196398116
5340.0,0.06806160000000006,3.78106161560403,0.09999999999999998,0.01249839162478822
5400.0,0.06806160000000006,3.7805251788282037,0.09999999999999998,0.012596878572670231
5460.0,0.06806160000000006,3.779991948003723,0.09999999999999998,0.012694858822102533
5520.0,0.06806160000000006,3.7794618867204415,0.09999999999999998,0.012792429058550105
5580.0,0.06806160000000006,3.778935019682441,0.09999999999999998,0.012889566837203395
5640.0,0.06806160000000006,3.7784113357359246,0.09999999999999998,0.01298627056300286
5700.0,0.06806160000000006,3.777890829428362,0.09999999999999998,0.01308254880071858
5760.0,0.06806160000000006,3.777373499948684,0.09999999999999998,0.01317840258741874
